trip,obs,country,city,mode,mode2,route,wo,ac,crowd,co2,lnco2,over,season
1,1,0,0,2,3,0,1,2,1,553,6.315358002,0,Spring
1,2,0,0,2,3,0,1,2,1,566,6.338594078,0,Spring
1,3,0,0,2,3,0,1,2,1,552,6.313548046,0,Spring
1,4,0,0,2,3,0,1,2,1,551,6.311734809,0,Spring
1,5,0,0,2,3,0,1,2,1,596,6.390240667,0,Spring
1,6,0,0,2,3,0,1,2,1,592,6.383506635,0,Spring
1,7,0,0,2,3,0,1,2,1,609,6.411818268,0,Spring
1,8,0,0,2,3,0,1,2,1,620,6.429719478,0,Spring
1,9,0,0,2,3,0,1,2,1,606,6.406879986,0,Spring
1,10,0,0,2,3,0,1,2,1,570,6.345636361,0,Spring
1,11,0,0,2,3,0,1,2,1,580,6.363028104,0,Spring
1,12,0,0,2,3,0,1,2,1,579,6.361302478,0,Spring
1,13,0,0,2,3,0,1,2,1,563,6.333279628,0,Spring
1,14,0,0,2,3,0,1,2,1,611,6.415096959,0,Spring
1,15,0,0,2,3,0,1,2,1,490,6.194405391,0,Spring
1,16,0,0,2,3,0,1,2,1,673,6.51174533,0,Spring
2,1,0,0,1,1,3,1,2,3,673,6.51174533,0,Spring
2,2,0,0,1,1,3,1,2,3,858,6.754604099,0,Spring
2,3,0,0,1,1,3,1,2,3,1074,6.979145275,1,Spring
2,4,0,0,1,1,3,1,2,3,1210,7.098375639,1,Spring
2,5,0,0,1,1,3,1,2,3,1260,7.138867,1,Spring
2,6,0,0,1,1,3,1,2,3,1189,7.080867897,1,Spring
2,7,0,0,1,1,3,1,2,3,1237,7.120444372,1,Spring
2,8,0,0,1,1,3,1,2,3,1256,7.135687347,1,Spring
2,9,0,0,1,1,3,1,2,3,1318,7.183870715,1,Spring
2,10,0,0,1,1,3,1,2,3,1393,7.239214974,1,Spring
2,11,0,0,1,1,3,1,2,3,1472,7.294377299,1,Spring
2,12,0,0,1,1,3,1,2,3,1380,7.229838778,1,Spring
2,13,0,0,1,1,3,1,2,3,1409,7.250635512,1,Spring
2,14,0,0,1,1,3,1,2,3,1524,7.329093736,1,Spring
2,15,0,0,1,1,3,1,2,3,1475,7.296413269,1,Spring
2,16,0,0,1,1,3,1,2,3,563,6.333279628,0,Spring
3,1,0,0,2,3,0,1,2,2,600,6.396929655,0,Spring
3,2,0,0,2,3,0,1,2,2,573,6.350885717,0,Spring
3,3,0,0,2,3,0,1,2,2,548,6.306275287,0,Spring
3,4,0,0,2,3,0,1,2,2,531,6.274762021,0,Spring
3,5,0,0,2,3,0,1,2,2,552,6.313548046,0,Spring
3,6,0,0,2,3,0,1,2,2,553,6.315358002,0,Spring
3,7,0,0,2,3,0,1,2,2,590,6.380122537,0,Spring
3,8,0,0,2,3,0,1,2,2,590,6.380122537,0,Spring
3,9,0,0,2,3,0,1,2,2,581,6.364750757,0,Spring
3,10,0,0,2,3,0,1,2,2,572,6.349138991,0,Spring
3,11,0,0,2,3,0,1,2,2,532,6.276643489,0,Spring
3,12,0,0,2,3,0,1,2,2,530,6.272877007,0,Spring
3,13,0,0,2,3,0,1,2,2,524,6.261491684,0,Spring
3,14,0,0,2,3,0,1,2,2,532,6.276643489,0,Spring
3,15,0,0,2,3,0,1,2,2,476,6.165417854,0,Spring
4,1,0,0,1,1,3,1,2,2,640,6.461468176,0,Spring
4,2,0,0,1,1,3,1,2,2,793,6.675823222,0,Spring
4,3,0,0,1,1,3,1,2,2,902,6.80461452,0,Spring
4,4,0,0,1,1,3,1,2,2,1018,6.925595197,1,Spring
4,5,0,0,1,1,3,1,2,2,1161,7.057036982,1,Spring
4,6,0,0,1,1,3,1,2,2,1222,7.10824414,1,Spring
4,7,0,0,1,1,3,1,2,2,1354,7.210818453,1,Spring
4,8,0,0,1,1,3,1,2,2,1421,7.259116128,1,Spring
4,9,0,0,1,1,3,1,2,2,1451,7.280008253,1,Spring
4,10,0,0,1,1,3,1,2,2,1518,7.325148958,1,Spring
4,11,0,0,1,1,3,1,2,2,1527,7.331060305,1,Spring
4,12,0,0,1,1,3,1,2,2,1527,7.331060305,1,Spring
4,13,0,0,1,1,3,1,2,2,1451,7.280008253,1,Spring
4,14,0,0,1,1,3,1,2,2,546,6.302618976,0,Spring
4,15,0,0,1,1,3,1,2,2,489,6.192362489,0,Spring
5,1,0,0,1,1,3,2,1,1,569,6.343880434,0,Spring
5,2,0,0,1,1,3,2,1,1,554,6.317164687,0,Spring
5,3,0,0,1,1,3,2,1,1,554,6.317164687,0,Spring
5,4,0,0,1,1,3,2,1,1,566,6.338594078,0,Spring
5,5,0,0,1,1,3,2,1,1,560,6.327936784,0,Spring
5,6,0,0,1,1,3,2,1,1,529,6.270988432,0,Spring
5,7,0,0,1,1,3,2,1,1,538,6.28785856,0,Spring
5,8,0,0,1,1,3,2,1,1,524,6.261491684,0,Spring
5,9,0,0,1,1,3,2,1,1,504,6.222576268,0,Spring
5,10,0,0,1,1,3,2,1,1,500,6.214608098,0,Spring
5,11,0,0,1,1,3,2,1,1,540,6.29156914,0,Spring
6,1,0,0,2,3,0,1,2,1,525,6.263398263,0,Spring
6,2,0,0,2,3,0,1,2,1,545,6.300785795,0,Spring
6,3,0,0,2,3,0,1,2,1,541,6.293419279,0,Spring
6,4,0,0,2,3,0,1,2,1,548,6.306275287,0,Spring
6,5,0,0,2,3,0,1,2,1,530,6.272877007,0,Spring
6,6,0,0,2,3,0,1,2,1,565,6.336825731,0,Spring
6,7,0,0,2,3,0,1,2,1,583,6.368187186,0,Spring
6,8,0,0,2,3,0,1,2,1,571,6.34738921,0,Spring
6,9,0,0,2,3,0,1,2,1,586,6.37331979,0,Spring
6,10,0,0,2,3,0,1,2,1,557,6.32256524,0,Spring
6,11,0,0,2,3,0,1,2,1,567,6.340359304,0,Spring
6,12,0,0,2,3,0,1,2,1,568,6.342121419,0,Spring
6,13,0,0,2,3,0,1,2,1,571,6.34738921,0,Spring
6,14,0,0,2,3,0,1,2,1,590,6.380122537,0,Spring
7,1,0,0,2,3,0,1,2,1,559,6.326149473,0,Spring
7,2,0,0,2,3,0,1,2,1,558,6.324358962,0,Spring
7,3,0,0,2,3,0,1,2,1,534,6.280395839,0,Spring
7,4,0,0,2,3,0,1,2,1,544,6.298949247,0,Spring
7,5,0,0,2,3,0,1,2,1,540,6.29156914,0,Spring
7,6,0,0,2,3,0,1,2,1,542,6.295266001,0,Spring
7,7,0,0,2,3,0,1,2,1,567,6.340359304,0,Spring
7,8,0,0,2,3,0,1,2,1,574,6.352629396,0,Spring
7,9,0,0,2,3,0,1,2,1,562,6.33150185,0,Spring
7,10,0,0,2,3,0,1,2,1,546,6.302618976,0,Spring
7,11,0,0,2,3,0,1,2,1,506,6.226536669,0,Spring
7,12,0,0,2,3,0,1,2,1,516,6.246106765,0,Spring
7,13,0,0,2,3,0,1,2,1,519,6.251903883,0,Spring
7,14,0,0,2,3,0,1,2,1,509,6.232448017,0,Spring
7,15,0,0,2,3,0,1,2,1,499,6.212606096,0,Spring
7,16,0,0,2,3,0,1,2,1,462,6.135564891,0,Spring
7,17,0,0,2,3,0,1,2,1,498,6.210600077,0,Spring
8,1,0,0,1,1,3,2,1,2,494,6.202535517,0,Spring
8,2,0,0,1,1,3,2,1,2,581,6.364750757,0,Spring
8,3,0,0,1,1,3,2,1,2,588,6.376726948,0,Spring
8,4,0,0,1,1,3,2,1,2,556,6.320768294,0,Spring
8,5,0,0,1,1,3,2,1,2,545,6.300785795,0,Spring
8,6,0,0,1,1,3,2,1,2,555,6.318968114,0,Spring
8,7,0,0,1,1,3,2,1,2,525,6.263398263,0,Spring
8,8,0,0,1,1,3,2,1,2,516,6.246106765,0,Spring
8,9,0,0,1,1,3,2,1,2,522,6.257667588,0,Spring
8,10,0,0,1,1,3,2,1,2,540,6.29156914,0,Spring
8,11,0,0,1,1,3,2,1,2,545,6.300785795,0,Spring
8,12,0,0,1,1,3,2,1,2,529,6.270988432,0,Spring
8,13,0,0,1,1,3,2,1,2,522,6.257667588,0,Spring
8,14,0,0,1,1,3,2,1,2,494,6.202535517,0,Spring
9,1,0,0,1,1,10,2,1,1,1055,6.961296046,1,Summer
9,2,0,0,1,1,10,2,1,1,1047,6.953684211,1,Summer
9,3,0,0,1,1,10,2,1,1,1053,6.959398512,1,Summer
9,4,0,0,1,1,10,2,1,1,1040,6.946975992,1,Summer
9,5,0,0,1,1,10,2,1,1,1036,6.943122423,1,Summer
9,6,0,0,1,1,10,2,1,1,1059,6.965080346,1,Summer
9,7,0,0,1,1,10,2,1,1,1057,6.963189986,1,Summer
9,8,0,0,1,1,10,2,1,1,1053,6.959398512,1,Summer
9,9,0,0,1,1,10,2,1,1,1075,6.980075941,1,Summer
9,10,0,0,1,1,10,2,1,1,1068,6.97354302,1,Summer
9,11,0,0,1,1,10,2,1,1,1069,6.974478911,1,Summer
9,12,0,0,1,1,10,2,1,1,1068,6.97354302,1,Summer
9,13,0,0,1,1,10,2,1,1,1092,6.995766156,1,Summer
9,14,0,0,1,1,10,2,1,1,1088,6.992096427,1,Summer
9,15,0,0,1,1,10,2,1,1,1089,6.993015123,1,Summer
9,16,0,0,1,1,10,2,1,1,1058,6.964135612,1,Summer
9,17,0,0,1,1,10,2,1,1,1022,6.929516771,1,Summer
9,18,0,0,1,1,10,2,1,1,1028,6.935370446,1,Summer
10,1,0,0,1,1,3,1,2,1,576,6.356107661,0,Summer
10,2,0,0,1,1,3,1,2,1,625,6.43775165,0,Summer
10,3,0,0,1,1,3,1,2,1,662,6.495265556,0,Summer
10,4,0,0,1,1,3,1,2,1,789,6.670766321,0,Summer
10,5,0,0,1,1,3,1,2,1,786,6.666956792,0,Summer
10,6,0,0,1,1,3,1,2,1,786,6.666956792,0,Summer
10,7,0,0,1,1,3,1,2,1,742,6.609349243,0,Summer
10,8,0,0,1,1,3,1,2,1,778,6.656726524,0,Summer
10,9,0,0,1,1,3,1,2,1,752,6.622736324,0,Summer
10,10,0,0,1,1,3,1,2,1,723,6.583409222,0,Summer
10,11,0,0,1,1,3,1,2,1,736,6.601230119,0,Summer
10,12,1,2,3,2,5,2,1,3,1396,7.241366283,1,
10,13,1,2,3,2,5,2,1,3,1330,7.192934221,1,
10,14,1,2,3,2,5,2,1,3,1316,7.182352112,1,
10,15,1,2,3,2,5,2,1,3,1281,7.155396302,1,
11,1,0,0,2,3,0,1,2,1,500,6.214608098,0,Summer
11,2,0,0,2,3,0,1,2,1,500,6.214608098,0,Summer
11,3,0,0,2,3,0,1,2,1,510,6.234410726,0,Summer
11,4,0,0,2,3,0,1,2,1,509,6.232448017,0,Summer
11,5,0,0,2,3,0,1,2,1,496,6.206575927,0,Summer
11,6,0,0,2,3,0,1,2,1,514,6.242223265,0,Summer
11,7,0,0,2,3,0,1,2,1,506,6.226536669,0,Summer
11,8,0,0,2,3,0,1,2,1,535,6.282266747,0,Summer
11,9,0,0,2,3,0,1,2,1,552,6.313548046,0,Summer
11,10,0,0,2,3,0,1,2,1,546,6.302618976,0,Summer
11,11,0,0,2,3,0,1,2,1,546,6.302618976,0,Summer
11,12,0,0,2,3,0,1,2,1,527,6.267200549,0,Summer
11,13,0,0,2,3,0,1,2,1,507,6.228511004,0,Summer
11,14,0,0,2,3,0,1,2,1,517,6.248042875,0,Summer
12,1,0,0,2,3,0,1,2,1,566,6.338594078,0,Summer
12,2,0,0,2,3,0,1,2,1,547,6.304448802,0,Summer
12,3,0,0,2,3,0,1,2,1,549,6.308098442,0,Summer
12,4,0,0,2,3,0,1,2,1,547,6.304448802,0,Summer
12,5,0,0,2,3,0,1,2,1,551,6.311734809,0,Summer
12,6,0,0,2,3,0,1,2,1,547,6.304448802,0,Summer
12,7,0,0,2,3,0,1,2,1,555,6.318968114,0,Summer
12,8,0,0,2,3,0,1,2,1,553,6.315358002,0,Summer
12,9,0,0,2,3,0,1,2,1,548,6.306275287,0,Summer
12,10,0,0,2,3,0,1,2,1,535,6.282266747,0,Summer
12,11,0,0,2,3,0,1,2,1,513,6.240275845,0,Summer
12,12,0,0,2,3,0,1,2,1,526,6.265301213,0,Summer
12,13,0,0,2,3,0,1,2,1,500,6.214608098,0,Summer
12,14,0,0,2,3,0,1,2,1,495,6.204557763,0,Summer
12,15,0,0,2,3,0,1,2,1,488,6.190315406,0,Summer
13,1,0,0,1,1,3,2,1,1,478,6.169610732,0,Summer
